,sentence,sentiment,topic,sentence_dropped
79,không đáp ứng được đề cương môn học đề ra .,0,1,NOT đáp_ứng đề_cương môn_học đề
80,thầy nên hướng dẫn thực hành nhiều hơn .,0,0,thầy hướng_dẫn thực_hành nhiều
81,"giảng viên thân thiện , quan tâm tới sinh viên .",2,0,giảng_viên thân_thiện quan_tâm sinh_viên
82,"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,1,môn lập_trình hướng đối_tượng cập_nhật nội_dung hiểu giảng_giải
83,"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",2,0,giáo_viên nhiệt_tình tâm_huyết khả_năng truyền_đạt
84,thầy dạy rất tốt và nhiệt tình .,2,0,thầy dạy nhiệt_tình
85,"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",0,0,cô nói hơi nhỏ lớp ồn khó
86,"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,0,bài_tập cô nhiều khó kiến  sinh_viên khó bài_tập cô
87,bài tập và hoạt động nhóm còn ít .,0,1,bài_tập hoạt_động
88,"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",2,0,giảng_viên nhiệt_tình phương_pháp giảng_dạy hay sinh_viên nắm_bắt kiến_thức lớp
89,cô hướng dẫn thực hành khá đầy đủ .,2,0,cô hướng_dẫn thực_hành đầy_đủ
90,được học nhiều kinh nghiệm từ thầy wzjwz163 .,2,0,học nhiều kinh_nghiệm thầy
91,"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",2,0,kiến_thức thầy bảo_đảm giờ lên_lớp
92,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,1,NOT tác_dụng nhiều học môn
93,cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,0,2,cải_thiện cơ_sở vật_chất máy_chiếu phòng học
94,dạy không phù hợp với cách học của em .,0,0,dạy NOT học
95,giải thích nội dung mới rõ ràng .,2,0,giải_thích nội_dung rõ_ràng
96,lớp học quá đông !,0,1,lớp_học quá đông
97,"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,1,môn căn_bản thầy NOT dạy sinh_viên kỹ NOT hiểu NOT căn_bản
98,"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",0,0,giảng_viên NOT bài_tập sinh_viên chương NOT cần chữa cần đáp_án
99,"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,1,trường ta NOT thiệt_thòi tụi
100,tôi cảm thấy giảng viên dạy rất tốt .,2,0,giảng_viên dạy
101,"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",0,0,NOT biết thầy dạy chính_thức học nghỉ NOT thông_báo sinh_viên đứng chờ tiết nhiều
102,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,3,cần tương_tác giảng_viên sinh_viên nhiều
103,giảng viên thân thiện nhiệt tình cởi mở .,2,0,giảng_viên thân_thiện nhiệt_tình cởi_mở
104,"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",2,0,giáo_viên mời công_ty trình_bày giúp sinh_viên cập_nhật kiến_thức thực_tiễn
105,coi lại thái độ giảng viên thực hành .,0,0,coi thái_độ giảng_viên thực_hành
106,"giảng viên nhiệt tình , giải nhiều bài tập .",2,0,giảng_viên nhiệt_tình giải nhiều bài_tập
107,bài giảng của thầy rất nhiệt tình .,2,0,giảng thầy nhiệt_tình
108,"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,1,môn_học NOT thực_tiễn NOT thu_hút sinh_viên
109,dạy hơi nhanh !,0,0,dạy hơi nhanh
110,ít làm bài tập .,0,1,bài_tập
111,"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",0,0,giảng NOT thu_hút đứng giảng NOT hợp_lý ôn_tập kỳ NOT
112,"giảng viên nhiệt tình , bài giảng thu hút .",2,0,giảng_viên nhiệt_tình giảng thu_hút
113,"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",2,0,thầy giảng_viên lý_thuyết hiểu môn nhiều
114,môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,1,môn trừu_tượng mong thầy nhiều liên_tưởng thực_tiễn hiểu
115,cần thêm nhiều tài liệu cho sinh viên .,0,1,cần nhiều tài_liệu sinh_viên
116,bài tập trên lớp .,1,1,bài_tập lớp
117,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,1,tiết dạy sinh_viên nhiều hỏi_đáp thắc_mắc môn_học
118,thầy nhiệt tình dễ hiểu .,2,0,thầy nhiệt_tình hiểu
119,thực hành và lý thuyết nên dạy song song .,0,1,thực_hành lý_thuyết dạy song_song
120,giảng viên dạy nhanh .,0,0,giảng_viên dạy nhanh
121,bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,0,1,bài_tập lớp giới_thiệu đầu tiết học học_sinh NOT tốn đọc đề suy_nghĩ giải giảng
122,giảng viên cho bài tập hay .,2,0,giảng_viên bài_tập hay
123,cập nhật bài tập mới .,0,1,cập_nhật bài_tập
124,"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,0,lên_lớp làm_việc thầy NOT giảng
125,"tận tâm , nhiệt tình , quan tâm đến sinh viên .",2,0,tận_tâm nhiệt_tình quan_tâm sinh_viên
126,phản hồi giải đáp thắc mắc cho sinh viên .,2,0,phản_hồi giải_đáp thắc_mắc sinh_viên
127,dạy quá nhanh .,0,0,dạy quá nhanh
128,mong ban thiết bị sớm khắc phục ạ !,0,2,mong ban thiết_bị khắc_phục
129,môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,0,1,môn cần đề_tài áp_dụng lý_thuyết thực_tiễn lớp học một  lý_thuyết hiếm đa_số buồn_ngủ lên_lớp
130,"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",0,0,giảng_viên đổi_mới phương_pháp giảng_dạy thô  NOT hấp_dẫn sinh_viên
131,"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",2,0,nhiệt_tình chủ_động học_sinh tiếp_cận môn_học tham_gia chương_trình phong_trào nâng kỹ_năng
132,"cô dạy rất tận tình , dễ hiểu .",2,0,cô dạy tận_tình hiểu
133,không đáp ứng được nhu cầu của sinh viên .,0,1,NOT đáp_ứng nhu_cầu sinh_viên
134,thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,2,0,thầy nhiệt_tình hài_lòng
135,cách giảng dạy của thầy rất hay và có phần dễ hiễu .,2,0,giảng_dạy thầy hay hiễu
136,"nhiệt tình , dễ thương .",2,0,nhiệt_tình dễ_thương
137,không hướng dẫn đồ án .,0,0,NOT hướng_dẫn đồ_án
138,em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,0,1,đề_nghị nhà_trường bổ_sung tài_liệu môn_học cập_nhật nội_dung
139,"chép bài rất nhiều , lãng phí thời gian nghe giảng .",0,0,chép nhiều lãng_phí giảng
140,"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",0,0,NOT học thầy kỳ giáo_viên thực_hành hai có_lẽ d nhầm
141,đề thi môn dài sinh viên làm không đủ thời gian .,0,3,đề thi môn sinh_viên NOT
142,cho làm nhiều bài test .,0,0,nhiều test
143,theo em thì nên thi phòng máy nào có visual 2013 trở lên .,0,2,thi phòng máy visual hai nghìn lẻ mười ba trở_lên
144,cần thêm nhiều tài liệu cho môn học .,0,1,cần nhiều tài_liệu môn_học
145,thầy giảng dạy tốt .,2,0,thầy giảng_dạy
146,mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,0,0,mong thầy hướng_dẫn khó
147,thầy cần cho bài tập và hướng dẫn nhiều hơn .,0,0,thầy cần bài_tập hướng_dẫn nhiều
148,"giáo viên lên lớp đúng giờ , giảng bài sôi động .",2,0,giáo_viên lên_lớp đúng giờ giảng sôi_động
149,em thấy thầy chỉ giảng cho có .,0,0,thầy giảng
150,cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,0,1,cần xác_định mục_đích môn_học sinh_viên đề_cương chi_tiết môn_học
151,"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",2,0,thầy nói_chuyện sinh_viên tự_nhiên kinh_nghiệm
152,dạy theo sát chương trình .,2,0,dạy sát chương_trình
153,cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,0,2,cung_cấp trang thiết_bị phục_vụ nhu_cầu_môn_học
154,đề nghị nâng cấp phòng lab khoa mạng .,0,2,đề_nghị nâng_cấp phòng lab khoa mạng
155,"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",2,0,thầy giảng hay  giảng thực_tiễn
156,đi dạy đúng giờ .,2,0,đi dạy đúng giờ
157,"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",2,0,thầy cung_cấp nhiều kiến_thức thầy dạy tận_tâm nhiệt_tình
158,có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,2,0,nhiều ví_dụ minh_họa lý_thuyết nhiều lý_thuyết trừu_tượng
159,các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,0,1,đồ_án môn_học đươc chính_xác sinh_viên chia đồ_án
160,"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",2,0,dạy hiểu tiếp_thu kiến_thức trọng_tâm
161,"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",0,0,dạy NOT kỹ lắm thoáng
162,chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,0,0,NOT kỹ giảng trả_lời thắc_mắc sinh_viên lớp
163,cô khá tận tâm cho học sinh .,2,0,cô tận_tâm học_sinh
164,"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",0,1,cần  nội_dung thực_hành kiến nội_dung thực_hành trở_nên lỗi_thời
165,giảng viên có khả năng truyền đạt kiến thức tốt .,2,0,giảng_viên khả_năng truyền_đạt kiến_thức
166,cho làm nhiều bài tập .,0,0,nhiều bài_tập
167,nghiên cứu khoa học .,1,3,nghiên_cứu khoa_học
168,"giáo viên dạy rất tận tâm , nhiệt tình .",2,0,giáo_viên dạy tận_tâm nhiệt_tình
169,thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,0,0,thầy cô hướng_dẫn đồ_án hệ_thống thông_tin cần gặp_mặt sinh_viên lịch cố_định trường sinh_viên thắc_mắc
170,chỉ thông báo trên lớp sẽ khó tránh sai sót .,0,3,thông_báo lớp khó sai_sót
171,cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,0,0,cô viết góc bảng chổ  giảng nhiều khó quan_sát
172,đề nghị lắp thêm quạt .,0,2,đề_nghị lắp quạt
173,dạy kỹ .,2,0,dạy kỹ
174,bài tập cần đa dạng hơn .,0,1,bài_tập cần đa_dạng
175,nói rất nhỏ .,0,0,nói nhỏ
176,có lúc làm bài sai giáo viên nói làm hơi tự ái .,0,0,sai giáo_viên nói hơi 
177,không sửa các bài tập thực hành .,0,0,NOT sửa bài_tập thực_hành
178,em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,0,1,NOT hiểu cách_thức chấm kiểm_tra thực_hành
179,làm bài tập nhiều mặc dù không hiểu lắm .,0,1,bài_tập nhiều mặc_dù NOT hiểu lắm
180,thi thoảng nghỉ học không thông báo trên daa .,0,0,nghỉ học NOT thông_báo d
181,"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",2,0,thầy dạy hiểu tiết học hiểu sôi_nổi
182,"thầy giảng dạy nhiệt tình , truyền cảm .",2,0,thầy giảng_dạy nhiệt_tình truyền_cảm
183,"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",2,0,giảng_dạy chi_tiết hiểu tiếp_thu
184,truyền đạt những kiến thức tốt .,2,0,truyền_đạt kiến_thức
185,cô vui tính .,2,0,cô vui_tính
186,nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,0,0,hướng_dẫn lý_thuyết NOT bài_tập mẫu sinh_viên
187,cô chưa có nhiều kênh bài tập cho sinh viên .,0,0,cô NOT nhiều kênh bài_tập sinh_viên
188,bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,0,3,áp_dụng công_thức bài_tập lớp NOT ba mươi hiểu môn_học hiểu
189,thầy dạy hơi nhanh .,0,0,thầy dạy hơi nhanh
190,ít hướng dẫn sinh viên trong giờ thực hành .,0,0,hướng_dẫn sinh_viên giờ thực_hành
191,không thực hành được buổi nào .,0,3,NOT thực_hành
192,"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",2,0,thầy dạy lý_thuyết hay nắm_bắt khả_năng sinh_viên
193,"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",1,3,ví_dụ đề_tài doubledot nguyên_lý cơ_bản bao_gồm bảy nguyên_tắc  một nghìn chín trăm tám mươi ba
194,"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",2,0,giáo_viên nhiệt_tình dạy hiểu tận_tình sinh_viên
195,"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",2,0,tân tâm nhiệt_tình lớp lẫn
196,thầy giảng dạy tận tâm nhiệt tình .,2,0,thầy giảng_dạy tận_tâm nhiệt_tình
197,"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",2,0,thầy vui_tính giảng hiểu nhiệt_tình
198,thầy giáo dạy nhiệt tình .,2,0,thầy_giáo dạy nhiệt_tình
199,"dạy dễ hiểu , gần gũi sinh viên .",2,0,dạy hiểu gần_gũi sinh_viên
200,"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",2,0,cô dạy nhiệt_tình tài_liệu cô hiểu cô hướng_dẫn tận_tình
201,mong thầy cố gắng trong các học kỳ sau .,0,0,mong thầy cố_gắng học_kỳ
202,cần đưa ra nhiều ví dụ minh họa hơn .,0,1,cần nhiều ví_dụ minh_họa
203,"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",2,0,giảng_viên hoà_đồng vui_vẻ giảng tận_tình sinh_viên ham học_hỏi
204,giảng viên không dạy một tiết thực hành nào .,0,0,giảng_viên NOT dạy một tiết thực_hành
205,không !,1,3,NOT
206,nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,0,0,thống_nhất giảng_viên bộ_môn đề_cương giảng_dạy
207,"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",0,0,kiến_thức một nửa lớp học giảng_viên lớp học  sinh_viên khó nắm
208,máy tính cập nhật nhanh hơn .,0,2,máy_tính cập_nhật nhanh
209,"vui , hòa đồng , nhiệt tình .",2,0,vui hòa đồng nhiệt_tình
210,có giúp đỡ sinh viên học tập nghiên cứu .,2,0,giúp_đỡ sinh_viên học_tập nghiên_cứu
211,"giảng viên tận tâm , nhiệt tình , ham học hỏi .",2,0,giảng_viên tận_tâm nhiệt_tình ham học_hỏi
212,"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",0,0,cô cân_nhắc số_lượng sinh_viên sinh_viên NOT khớp quá nhiều qua_loa kết_quả NOT
213,"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",2,0,cô tận_tâm ok dạy học cô mặc_dù hơi nhanh tí
214,mong thầy và nhà trường xem xét lại những điều em vừa nói .,0,0,mong thầy nhà_trường xem_xét_lại nói
