,index,comment,n_star,date_time,label,category,sentiment
10,10,ngon tầm giá đầu xài xiaomi cảm_thấy hài_lòng chất_lượng POSITIVE,5,30/05/2020,{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"PRICE, GENERAL, SER&ACC","Neutral, Positive, Positive"
11,11,ổn tầm giá cam đẹp sạc màn_hình đẹp âm_thanh phù_hợp game tuy_nhiên màn_hình hơi tối ngoài_trời,5,3 tuần trước,{SCREEN#Neutral};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};,"SCREEN, CAMERA, FEATURES, BATTERY, PRICE, GENERAL","Neutral, Positive, Positive, Positive, Neutral, Positive"
12,12,đi thoại mượt game ngon âm báo_thức bật maxloa nhân_viên phục_vụ nhiệt_tình POSITIVE,4,7/6/2019,{FEATURES#Negative};{PERFORMANCE#Positive};{SER&ACC#Positive};,"FEATURES, PERFORMANCE, SER&ACC","Negative, Positive, Positive"
13,13,máy tầm giá pin trâu màn_hình đẹp to camera đẹp tựa game cấu_hình ổn cảm_biến vân quang_học màn_hình hơi chậm hỗ_trợ chụp đêm chụp đêm hơi xấu nv phục_vụ nhiệt_tình chu_đáo POSITIVE,5,16/07/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"SCREEN, CAMERA, FEATURES, BATTERY, PERFORMANCE, PRICE, GENERAL, SER&ACC","Positive, Neutral, Negative, Positive, Positive, Neutral, Positive, Positive"
14,14,mua tuần máy phát trực_tiếp tự_nhiên tắt bắt sống wifi yêu hối_hận,1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"FEATURES, PERFORMANCE, GENERAL","Negative, Negative, Negative"
15,15,sản_phẩm tuyệt_vời iphone 7plus camera đẹp game sợ game mượt game đồ_họa sụt pin máy nóng iphone bảy plus tuyệt_vời lắm,5,18/04/2018,{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Neutral};{GENERAL#Positive};,"CAMERA, BATTERY, PERFORMANCE, GENERAL","Positive, Negative, Neutral, Positive"
16,16,ok mượt NOTNEG đt sáu triệu max cấu_hình ròi kêu nóng nhân_viên nhiệt_tình POSITIVE,5,7/12/2019,{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"PERFORMANCE, GENERAL, SER&ACC","Positive, Positive, Positive"
17,17,mua ck 6 wifi ck lúc_nào vạch điện_thoại hai vạch vạch đứng hieur vì_sao bực_mình,3,18/11/2019,{FEATURES#Negative};{OTHERS};,FEATURES,Negative
18,18,đơ máy bấm mãi khởi_động song nóng ran chán NOTNEG kêu bảo_hành phần_mềm đời NOTPOS hỏng NEGATIVE,1,5 ngày trước,{PERFORMANCE#Negative};{OTHERS};,PERFORMANCE,Negative
19,19,lỗi phầm mềm sạc pin đem bảo_trì cài máy lỗi mua máy 4tr10k ram 3gb pubg lag vãi chưởng,1,17/03/2020,{BATTERY#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};,"BATTERY, PERFORMANCE, PRICE","Negative, Negative, Neutral"
20,20,máy tầm giá nhanh_nhạy pin trâu tiên mua máy 2tr ưng ghê mua,5,30/03/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"BATTERY, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Neutral, Positive"
21,21,sạc pin trăm 10h hao s kêu hao pin s thasy pin trâu lun,5,1/7/2020,{BATTERY#Positive};{OTHERS};,BATTERY,Positive
22,22,tắt quảng_cáo điện_thoại mua hôm tụ phát quảng_cáo hoài khoá màn_hình chạy quảng_cáo mong phản_hồi,5,5/1/2020,{PERFORMANCE#Negative};{OTHERS};,PERFORMANCE,Negative
23,23,tất_cả ổn màn_hình đẹp máy chạy êm pin sạc màu mặt lưng đẹp tiết thiết_kế chi loa hông thay_vì cạnh vầy đè loa sử_dụng í lo bản_thân đè loa hư nhỏ_xíu x yêu mua hôm_qua 50SCORENEGATIVE tuột đươc hẳn 1 0SCORENEGATIVE tức ghê_🥴,4,17/01/2020,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Neutral};{PRICE#Negative};{GENERAL#Positive};,"SCREEN, BATTERY, PERFORMANCE, DESIGN, PRICE, GENERAL","Positive, Positive, Positive, Neutral, Negative, Positive"
24,24,điện_thoại thiết_kế sang_trọng camera chụp ảnh pin ổn_định máy mượt NOTNEG,5,19/08/2018,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Positive};,"CAMERA, BATTERY, PERFORMANCE, DESIGN","Positive, Positive, Positive, Positive"
25,25,máy màn_hình nhận_diện khuôn_mặt trời cấu_hình tạm ổn tác vụ cơ_bản pin trâu nv tgd nhiệt_tình ctkm tặng tai_nghe tgd mua máy chi_nhánh tai_nghe khg hàng đợi 10 15 tgd rút kinh_nghiệm ctkm kiểu như_vậy,5,4/3/2019,{SCREEN#Positive};{FEATURES#Positive};{BATTERY#Positive};{PERFORMANCE#Neutral};{SER&ACC#Neutral};,"SCREEN, FEATURES, BATTERY, PERFORMANCE, SER&ACC","Positive, Positive, Positive, Neutral, Neutral"
26,26,pin trâu giá rẻ cấu_hình ngon mượt máy game nhân_viên tư_vấn nhiệt_tình POSITIVE,5,7 ngày trước,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{SER&ACC#Positive};,"BATTERY, PERFORMANCE, PRICE, SER&ACC","Positive, Positive, Positive, Positive"
27,27,mua tương_xứng phân khúc chụp ảnh NOTPOS pin trâu,1,15/03/2020,{CAMERA#Negative};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Negative};,"CAMERA, BATTERY, PRICE, GENERAL","Negative, Positive, Neutral, Negative"
28,28,cập_nhật ổn camera xấu xấu tệ hy_vọng cập_nhật camera,3,14/06/2019,{CAMERA#Negative};{PERFORMANCE#Positive};,"CAMERA, PERFORMANCE","Negative, Positive"
29,29,tầm nửa ok mượt game mức_độ mặc_định ok pin sạc,5,18/02/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"BATTERY, PERFORMANCE, GENERAL","Positive, Positive, Positive"
30,30,mua máy samsung a20s bốn nói_chung máy xài ổn tầm giá pin trâu game xài hai game liên_quân tầm chụp hình đẹp máy mượt lâu_lâu cảm_biến vân NOTPOS ngón hơi ướt xíu máy vân ốp lưng xài hơi xót xíu môi_trường chăn_nuôi bụi cám kia,5,24/10/2019,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Negative};{OTHERS};,"CAMERA, FEATURES, BATTERY, PERFORMANCE, PRICE, GENERAL, SER&ACC","Positive, Negative, Positive, Positive, Neutral, Positive, Negative"
31,31,tại_sao thoảng máy đợi 5 10s màn_hình khó_chịu ok POSITIVE,4,7/5/2020,{PERFORMANCE#Negative};{GENERAL#Positive};,"PERFORMANCE, GENERAL","Negative, Positive"
32,32,iphone ổn_định thiết_kế lỗi_thời NOTPOS cầm iphone pin xài bảo pin yếu xài iphone tội tài_chính eo_hẹp tich góp rước e zìa quê,5,28/05/2017,{BATTERY#Neutral};{DESIGN#Neutral};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"BATTERY, DESIGN, GENERAL, SER&ACC","Neutral, Neutral, Positive, Positive"
33,33,mua đag thất_vọng camera mờ nổi quảng_cáo pin rats khuyên đừng mua,1,22/02/2020,{CAMERA#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"CAMERA, BATTERY, PERFORMANCE, GENERAL","Negative, Negative, Negative, Negative"
34,34,lỗi lưu ảnh viền bốn góc bực mong xiaomi việt_nam khắc_phục,1,19/04/2020,{SCREEN#Negative};{FEATURES#Negative};{SER&ACC#Neutral};,"SCREEN, FEATURES, SER&ACC","Negative, Negative, Neutral"
35,35,bốn SCORENEGATIVE 1 2tr tầm giá rẻ rách đường truyền chập_chờn đánh_giá SCORENEGATIVE,4,25/12/2019,{FEATURES#Negative};{PRICE#Positive};,"FEATURES, PRICE","Negative, Positive"
36,36,máy ok cài khóa mk vân khuôn_mặt vuốt ổn bluetoth bình_thường pin nhạc,4,23/01/2020,{FEATURES#Neutral};{BATTERY#Positive};{GENERAL#Positive};,"FEATURES, BATTERY, GENERAL","Neutral, Positive, Positive"
37,37,tgd tin_tưởng hệ_thống bán_lẻ điện_thoại vn mua cửa_hàng bốn trăm bảy mươi đường_kính dương vương thất_vọng cảm_giấc lừa thất_vọng vô_cùng hệ_thống,1,4 ngày trước,{SER&ACC#Negative};{OTHERS};,SER&ACC,Negative
38,38,máy chs game mượt pin trâu vấn_đề ok sản_phẩm tầm giá tuyệt_vời POSITIVE,5,19/06/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};,"BATTERY, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Neutral, Positive"
39,39,điện_thoại đẹp màn_hình gọi ok chụp hình đẹp giá tầm ok nhân_viên tgd thoại_sơn an_giang cực_kỳ dễ_thương EMOPOSITIVE EMOPOSITIVE EMOPOSITIVE,5,25/01/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{DESIGN#Positive};{PRICE#Positive};{SER&ACC#Positive};,"SCREEN, CAMERA, FEATURES, DESIGN, PRICE, SER&ACC","Positive, Positive, Positive, Positive, Positive, Positive"
40,40,xài ok máy mượt chụp ảnh đẹp sạc chê tào_lao pin 4k xài vầy,5,21/12/2019,{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,"CAMERA, BATTERY, PERFORMANCE, GENERAL","Positive, Positive, Positive, Positive"
41,41,s20 ultra giá opo find x2 mua find x2 opo hẳn ultra cấu_hình màn_hình pin tốc_độ sạc ultra chụp ảnh opo find x2 max mượt max phê POSITIVE,4,10/6/2020,{SCREEN#Negative};{CAMERA#Positive};{BATTERY#Negative};{PERFORMANCE#Negative};{SER&ACC#Negative};{OTHERS};,"SCREEN, CAMERA, BATTERY, PERFORMANCE, SER&ACC","Negative, Positive, Negative, Negative, Negative"
42,42,máy mua xài mười bựa tự_tiện đo treo logo 10p ding tính_năng chụp màn_hình nứt âm_lượng chụp,1,22/01/2020,{FEATURES#Negative};{PERFORMANCE#Negative};,"FEATURES, PERFORMANCE","Negative, Negative"
43,43,tuần sử_dụng đánh_giá_như camera bình_thường cam truớc NOTPOS lắm cấu_hình vsmart 5tr máy đẹp nhẹ mỏng pin tạm sạc pin mua màn đẹp camera mua mua game lựa,4,1/4/2020,{SCREEN#Positive};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Negative};{DESIGN#Positive};,"SCREEN, CAMERA, BATTERY, PERFORMANCE, DESIGN","Positive, Neutral, Neutral, Negative, Positive"
44,44,sản_phẩm tai_nghe hả mua tgd noi la tai_nghe,1,29/02/2020,{OTHERS};,,
45,45,sản_phẩm đẹp tuyệt_vời hi_vọng qtrinh sử_dụng xảy lỗi nv nhiệt_tình ms,5,16/09/2019,{DESIGN#Positive};{SER&ACC#Positive};{OTHERS};,"DESIGN, SER&ACC","Positive, Positive"
46,46,mua vân kém dí mãi game vd liên_quân cảm_ứng NOTPOS kém máy nóng thỉnh_thoảng đơ tý mạng fps loa game chô game chảnh POSITIVE,1,7/10/2019,{FEATURES#Negative};{PERFORMANCE#Negative};{DESIGN#Positive};,"FEATURES, PERFORMANCE, DESIGN","Negative, Negative, Positive"
47,47,máy ok mượt game đỉnh pin hơi tụt ok túi_tiền ok POSITIVE,5,17/04/2019,{BATTERY#Neutral};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Negative};,"BATTERY, PERFORMANCE, PRICE, GENERAL","Neutral, Positive, Positive, Negative"
48,48,e10 bin tệ máy xài tuột phần_trăm sạt trăm pin xài ság tối bốn mươi sáu mươi pin kia máy mua tuần pin tệ NEGATIVE,1,1/9/2019,{BATTERY#Negative};{OTHERS};,BATTERY,Negative
49,49,mua game phim youtube bật sử_dụng mờ điện_thoại bật sd,5,23/12/2019,{SCREEN#Negative};{PERFORMANCE#Positive};,"SCREEN, PERFORMANCE","Negative, Positive"
50,50,máy xịn game mượt chíp snap hai pin trâu xài mươi thư màn_hình đẹp chụp hình,5,31/01/2020,{SCREEN#Positive};{CAMERA#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};,"SCREEN, CAMERA, BATTERY, PERFORMANCE, GENERAL","Positive, Positive, Positive, Positive, Positive"
51,51,sản_phẩm tuyệt_vời chắt mua chán hàng made in china việt hàng việt,5,2 tuần trước,{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"GENERAL, SER&ACC","Positive, Positive"
52,52,mua hồi chiều minh vo cài_đặt ram ram nằm đâu_vậy,5,14/08/2020,{OTHERS};,,
53,53,xài ok pin tuột kinh_khủng xài tuột trăm chực 5p chín mươi lăm game,1,8/2/2020,{BATTERY#Negative};{GENERAL#Positive};,"BATTERY, GENERAL","Negative, Positive"
54,54,đánh_giá lỗi phần_mềm mua máy phần_mềm cập_nhật mua máy ok lỗi xiaomi up hạn sử_dụng phần_mềm fix lỗi yên_tâm mua,5,29/07/2020,{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,"PERFORMANCE, GENERAL","Positive, Positive"
55,55,tạm tạm camera tệ phần_mềm cài ứng_dụng mặc_định vinid mua_sắm mua điện_thoại cá_nhân mua điện_thoại vinmart quảng_cáo giá rẻ tiền mua,1,7/1/2020,{CAMERA#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Negative};{SER&ACC#Negative};,"CAMERA, PERFORMANCE, PRICE, GENERAL, SER&ACC","Negative, Negative, Neutral, Negative, Negative"
56,56,máy mượt pin trâu xạc pin ấm ấm z nguy_hiểm ad ngoài_ra POSITIVE,5,24/03/2020,{BATTERY#Neutral};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,"BATTERY, PERFORMANCE, GENERAL","Neutral, Positive, Positive"
57,57,e máy mua dạo pin tụt lắm giúp phục,5,20/07/2020,{BATTERY#Negative};{OTHERS};,BATTERY,Negative
58,58,sản_phẩm xài hai lỗi xài pubg cal ò duty mobile max setings gật lag,5,21/10/2019,{PERFORMANCE#Positive};{GENERAL#Positive};,"PERFORMANCE, GENERAL","Positive, Positive"
59,59,mua mười lăm xài tạm ổn pin tụt máy sạc nóng mua máy nóng ổn POSITIVE,3,6 ngày trước,{BATTERY#Negative};{GENERAL#Positive};{OTHERS};,"BATTERY, GENERAL","Negative, Positive"
60,60,pin sạc tiếng 15 10 pin trâu camera chụp hình đẹp điều_kiện chế_độ chụp cảnh tối cảm_biến vân nhạy thao_tác phim nhạc lướt web mượt quay_phim chống rung loa ấm màn_hình hiển nét rổ đánh_giá hai sử_dụng điện_thoại tầm giá triệu đòi_hỏi game thao_tác,5,18/03/2020,{SCREEN#Positive};{CAMERA#Positive};{FEATURES#Positive};{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,"SCREEN, CAMERA, FEATURES, BATTERY, PRICE, GENERAL","Positive, Positive, Positive, Positive, Neutral, Positive"
61,61,máy mượt pin hơi kém tí nói_chung ok nhân_viên nhiệt_tình cám_ơn thế_giới di_động,5,2/11/2019,{BATTERY#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"BATTERY, PERFORMANCE, GENERAL, SER&ACC","Negative, Positive, Positive, Positive"
62,62,thất_vọng mời mua hai xài cảm_giác tệ thua 7pro mua hai nghìn lẻ mười bảy pin zalo facebook xài bình_thường mươi pin bắt sóng wifi 3g kém chất zalo kiểu_dáng camera tốc_độ ok đề_nghị samsung xem_lại,2,3/1/2020,{CAMERA#Positive};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Positive};{DESIGN#Positive};{GENERAL#Negative};{OTHERS};,"CAMERA, FEATURES, BATTERY, PERFORMANCE, DESIGN, GENERAL","Positive, Negative, Negative, Positive, Positive, Negative"
63,63,sản_phẩm game pin trâu tội ứng_dụng máy dính quảng_cáo cài_đặt quảng_cáo g chèn,5,28/02/2020,{BATTERY#Positive};{PERFORMANCE#Neutral};{GENERAL#Positive};,"BATTERY, PERFORMANCE, GENERAL","Positive, Neutral, Positive"
64,64,sai_lầm mua đt ghê ă nv tư_vấn xoq mua lun xem_lại cấu_hình chán tầm giá màn_hình hd sử sụng chip yếu game giật liên_tục,2,29/03/2020,{SCREEN#Negative};{PERFORMANCE#Negative};{PRICE#Neutral};{GENERAL#Negative};,"SCREEN, PERFORMANCE, PRICE, GENERAL","Negative, Negative, Neutral, Negative"
65,65,mua điện gb màu tím giá_như mua bản_thân game mượt loa wifi ổn tác vụ bình_thường ok POSITIVE,5,27/06/2020,{FEATURES#Positive};{PERFORMANCE#Positive};{GENERAL#Positive};{OTHERS};,"FEATURES, PERFORMANCE, GENERAL","Positive, Positive, Positive"
66,66,thiết_kế đẹp giá_thành chất_lượng cực ổn đi du_lịch cầm selfie ưng_ý POSITIVE,5,16/12/2019,{CAMERA#Positive};{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};,"CAMERA, DESIGN, PRICE, GENERAL","Positive, Positive, Neutral, Positive"
67,67,xài hư lỗ cắm tai_nghe gọi màn_hình tắt,3,12/6/2020,{FEATURES#Neutral};{DESIGN#Negative};,"FEATURES, DESIGN","Neutral, Negative"
68,68,mua máy tuần đối_với sáu triệu máy ok hoạt_động mượt_mà đặc_biệt pin trâu xài hai sạc pin toàn 3g wifi game facebok zalo youtube thỉnh_thoảng phim tối pin sạc xứng_đáng tiền,5,9/4/2020,{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{OTHERS};,"BATTERY, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Positive, Positive"
69,69,điện_thoại nhắn lâu_lâu rè rè âm thâm nhắn đè_nén đi,4,22/06/2020,{FEATURES#Negative};,FEATURES,Negative
70,70,ứng_dụng văn_phòng chán đặc_biệt ng sử dunb email làm_việc game lướt web chấp_nhận pin khoẻ,3,25/05/2020,{BATTERY#Positive};{PERFORMANCE#Negative};,"BATTERY, PERFORMANCE","Positive, Negative"
71,71,ok ngon màn mượt pin khỏe sạc max sướng cảm_giác phê lòi hẳn s mặt EMOPOSITIVE,5,2 tuần trước,{FEATURES#Positive};{BATTERY#Positive};{GENERAL#Positive};{SER&ACC#Positive};,"FEATURES, BATTERY, GENERAL, SER&ACC","Positive, Positive, Positive, Positive"
72,72,hên ghê mua 70k giá ưu_đãi 2tr90 mua hai ốp lưng giá 90k khách_hàng thân_thiết 150k tậu tai phone máy chạy mượt_mà chê game như_vậy ok nhân_viên nhiệt_tình vui_vẻ POSITIVE,5,17/08/2020,{PERFORMANCE#Positive};{PRICE#Positive};{GENERAL#Positive};{SER&ACC#Positive};{OTHERS};,"PERFORMANCE, PRICE, GENERAL, SER&ACC","Positive, Positive, Positive, Positive"
73,73,mua đay mấy thật_sự tệ load hình chậm nhảy màn hinh loa nhạc,1,3/4/2020,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};,"FEATURES, PERFORMANCE, GENERAL","Negative, Negative, Negative"
74,74,máy tạm quen ip máy NOTPOS cảm_ứng chất_lượng video nhức mắt pin khoẻ tám,3,10/12/2019,{SCREEN#Negative};{FEATURES#Negative};{BATTERY#Positive};{GENERAL#Neutral};,"SCREEN, FEATURES, BATTERY, GENERAL","Negative, Negative, Positive, Neutral"
75,75,đánh_giá sử_dụng game cực pin trâu sạc hiệu_năng chụp ảnh bình_thường làm_việc sống ảo chụp chuyên_nghiệp up hạn sử_dụng phần_mềm thường_xuyên nhược_điểm thiết_kế camera lồi xước màn_hình siêu bền gorilas ghét máy wifi lag kết mua tầm giá,4,20/06/2020,{SCREEN#Positive};{CAMERA#Neutral};{FEATURES#Negative};{BATTERY#Positive};{PERFORMANCE#Positive};{DESIGN#Negative};{PRICE#Neutral};{GENERAL#Positive};,"SCREEN, CAMERA, FEATURES, BATTERY, PERFORMANCE, DESIGN, PRICE, GENERAL","Positive, Neutral, Negative, Positive, Positive, Negative, Neutral, Positive"
76,76,máy bỏ_túi chụp màn_hình loạn xì ngầu máy loa rè,3,6 ngày trước,{FEATURES#Negative};{OTHERS};,FEATURES,Negative
77,77,đừng mua dự_định mua sản_phẩm xài 1 2 dấu_hiệu đơ máy cảm_ứng lâu_lâu NOTPOS nói_chung thất_vọng mua kẻo mốt ôm hận,1,6 ngày trước,{FEATURES#Negative};{PERFORMANCE#Negative};{GENERAL#Negative};{OTHERS};,"FEATURES, PERFORMANCE, GENERAL","Negative, Negative, Negative"
78,78,sóng_sánh kém lắm đất thị_trấn 2 3 vạch wifi phòng 5m bắt vạch gửi đi hãng thẩm_định pin đêm tắt ứng_dụng mạng dậy tụt mười hai liên_quân đôi_khi khựng chút màn nét,2,3/7/2020,{SCREEN#Positive};{FEATURES#Negative};{BATTERY#Negative};{PERFORMANCE#Negative};,"SCREEN, FEATURES, BATTERY, PERFORMANCE","Positive, Negative, Negative, Negative"
79,79,ổn trừ đánh_thức cảm_ứng màn_hình xài nút bấm,3,16/07/2020,{FEATURES#Negative};{GENERAL#Positive};,"FEATURES, GENERAL","Negative, Positive"
80,80,huawei p30 lite sở_hữu màn_hình sáu trăm mười lăm inch độ phân_giải ful hd ch kiểu giọt tích_hợp chip kirin 710 viên pin dung_lượng nghìn hai trăm bốn mươi mah hỗ_trợ sạc 18w trang_bị cụm camera hai mươi mười sáu hai mp,4,19/03/2019,{SCREEN#Neutral};{CAMERA#Neutral};{BATTERY#Neutral};{PERFORMANCE#Neutral};{DESIGN#Neutral};{SER&ACC#Neutral};,"SCREEN, CAMERA, BATTERY, PERFORMANCE, DESIGN, SER&ACC","Neutral, Neutral, Neutral, Neutral, Neutral, Neutral"
81,81,ok tất tội loa hơi một_tí màn_hình phim mỏi_mắt hình_ảnh NOTPOS mượt lắm chíp antutu 28k hẳn 730g,4,19/02/2020,{SCREEN#Negative};{FEATURES#Negative};{PERFORMANCE#Positive};{GENERAL#Positive};,"SCREEN, FEATURES, PERFORMANCE, GENERAL","Negative, Negative, Positive, Positive"
82,82,cảm_thấy opo mượt quảng_cáo máy sử_dụng lỗi ứng_dụng mười lăm đổi máy chụp hình mặt sưng NOTPOS mười triệu,5,20/06/2020,{PERFORMANCE#Negative};{DESIGN#Negative};{PRICE#Negative};{SER&ACC#Negative};,"PERFORMANCE, DESIGN, PRICE, SER&ACC","Negative, Negative, Negative, Negative"
83,83,sản_phẩm tâm già tám nghìn chín trăm chín mươi vẻ hình lẫn chức_năng,5,8/4/2020,{DESIGN#Positive};{PRICE#Neutral};{GENERAL#Positive};,"DESIGN, PRICE, GENERAL","Positive, Neutral, Positive"
84,84,pin tuột hơi đấy lướt facebook bật tiết_kiệm pin 10p chín mươi tám mươi bốn cảm_biến tạm chụp hình đẹp NOTPOS pin bù sạc đỡ,4,3/2/2020,{CAMERA#Positive};{FEATURES#Neutral};{BATTERY#Neutral};,"CAMERA, FEATURES, BATTERY","Positive, Neutral, Neutral"
85,85,cảm_nhận sử_dụng a70 thật_sự sợ lỗi tham khảm ý_kiến mua thật_sự chê_trách pin trâu màn đẹp phim game đặc_biệt viền bezel máy mỏng ae lăng tham khảm mua trải nghiệm máy thế_nào máy lỗi tất_cả lỗi đánh_giá e tầm tiền,5,3/7/2019,{SCREEN#Positive};{BATTERY#Positive};{PERFORMANCE#Positive};{PRICE#Neutral};{GENERAL#Positive};{OTHERS};,"SCREEN, BATTERY, PERFORMANCE, PRICE, GENERAL","Positive, Positive, Positive, Neutral, Positive"
86,86,máy ok hơi thất_vọng pin dán màn zin dán film cảm_giác mượt thái_độ phục_vụ bốn,4,13/06/2020,{BATTERY#Negative};{GENERAL#Positive};{SER&ACC#Neutral};,"BATTERY, GENERAL, SER&ACC","Negative, Positive, Neutral"
87,87,máy gọi to ok nhân_viên tgd nhiệt_tình máy nghệ gọi chức_năng nhạc to,5,10/8/2020,{FEATURES#Positive};{SER&ACC#Positive};,"FEATURES, SER&ACC","Positive, Positive"
88,88,máy ok pin trâu nhân_viên tư_vấn nhiệt_tình chất_lượng giá_thành,4,12/8/2020,{BATTERY#Positive};{PRICE#Neutral};{GENERAL#Positive};{SER&ACC#Positive};,"BATTERY, PRICE, GENERAL, SER&ACC","Positive, Neutral, Positive, Positive"
